1:  17/63x48÷17=
2348:  (57/30x14)÷31=
2349:  (45+62)-71=
2350:  14x73-61=
2351:  70+73/23+65=
2352:  20/75x(27/53+37)=
2353:  (67x50)x2=
2354:  (12x63)/12x13=
2355:  57-64/44+68/25=
2356:  50+4÷1=
2357:  74-39÷50=
2358:  54x(98÷84)=
2359:  29x75x14=
2360:  1x(56x22)=
2361:  81÷(69+49)=
2362:  11-71/40-4/90=
2363:  (60+5)x16=
2364:  11÷92÷3=
2365:  (31+77)+79=
2366:  38-93/74+37=
2367:  (8+51)+24=
2368:  80+72/75+81=
2369:  83÷(86-1)/97=
2370:  57+34+79=
2371:  (61+51)-18=
2372:  29x(74/49x71)=
2373:  (51/41x10)+82/30=
2374:  6÷(84x24)=
2375:  (2+18)x67=
2376:  14+24/69-10/22=
2377:  90-33÷64=
2378:  73-(22+13)=
2379:  13/17x27+93=
2380:  85x55÷48=
2381:  84x(40÷29)=
2382:  (61/25x63)÷34=
2383:  28/15x(1x90)/57=
2384:  94/31x67x89=
2385:  15÷(77+72)=
2386:  55÷(81x96)=
2387:  56÷(12+94)=
2388:  (62÷46)x78=
2389:  64÷80/94x91=
2390:  (51x18)+54=
2391:  45+(27/29x63)=
2392:  (60x59)-77=
2393:  19+(77÷22)/36=
2394:  (17/67+72)-58=
2395:  8÷21/59-8=
2396:  23÷(59-20)=
2397:  (33x72)÷84=
2398:  (82+58)/51x64=
2399:  34÷81x51=
2400:  74/18x(27+29)/92=
2401:  55-(70/82x41)=
2402:  (40÷11)÷99=
2403:  (48-31)÷11/16=
2404:  25+(16x31)=
2405:  (79x53)x87=
2406:  54+78x68/7=
2407:  (27+1)-54/55=
2408:  (56+41)-23=
2409:  50+(2÷33)=
2410:  71/15+60+14=
2411:  (77+5)÷61=
2412:  62+(49x25)=
2413:  51+(68+76)=
2414:  40÷68+64/7=
2415:  54x(47+63)=
2416:  (97+21)/87+24=
2417:  83+65x16=
2418:  99-(29÷19)=
2419:  67x6x3=
2420:  (8÷62)/55+89=
2421:  (96-23)/20+77=
2422:  (40+69)-54=
2423:  (83+20)-95=
2424:  87-88÷92=
2425:  2÷(12÷51)/48=
2426:  29-(24x36)/66=
2427:  82+(96-51)=
2428:  91/83÷(34+54)=
2429:  (18+60)+50=
2430:  14+61/88+1=
2431:  34+75x91/42=
2432:  (81x72)+4/9=
2433:  (35x12)-13/42=
2434:  (93÷92)x4=
2435:  66/17x85÷84=
2436:  33/44+(34x9)=
2437:  17x89x39=
2438:  51/85x(66÷76)=
2439:  (93÷15)/55÷95=
2440:  56+61÷91=
2441:  (36x86)-76=
2442:  (20x50)÷80=
2443:  8÷(66x81)/98=
2444:  79+(95x68)=
2445:  85/25+(91x72)=
2446:  (68x98)÷93=
2447:  22÷99+2=
2448:  (79x59)÷58=
2449:  22-23/11+94=
2450:  89÷(62+62)=
2451:  (79+63)/99x41=
2452:  59/75+(29÷86)=
2453:  26x17x2=
2454:  46x(80/55x15)=
2455:  28/38x(92x17)=
2456:  30/36x(55÷22)=
2457:  (50÷25)/96÷79/3=
2458:  83÷(76/10x84)=
2459:  8+57x54=
2460:  78÷98+97=
2461:  (79x69)-72=
2462:  (75÷6)x99=
2463:  27/98+(65÷69)=
2464:  50+100x77/82=
2465:  37-1/68x34=
2466:  56-(33÷8)=
2467:  90-74/66+98=
2468:  96x(75÷2)=
2469:  (38÷43)x33=
2470:  13x(4÷25)/87=
2471:  24+83-97/2=
2472:  33+97-77=
2473:  (82x56)+31=
2474:  7+72+46=
2475:  5÷59÷62=
2476:  84x90-38=
2477:  28x(36+66)=
2478:  16÷(23/86÷21)/62=
2479:  (87x32)/27÷90/97=
2480:  95/70÷(7x1)/68=
2481:  (7x89)x74=
2482:  73÷(13/2-2)=
2483:  (25+4)÷16=
2484:  46+(8÷69)=
2485:  (7/22÷38)÷29=
2486:  72+3÷14/20=
2487:  26/33+18+92=
2488:  77÷(14÷29)=
2489:  7+16/70÷4=
2490:  79+(94-87)=
2491:  46/54+(79+39)=
2492:  40-34+76=
2493:  (7÷68)+47=
2494:  38-(67/38+95)/76=
2495:  86÷73/90÷81=
2496:  64x(18÷54)=
2497:  95÷(43÷20)=
2498:  73x(76÷66)=
2499:  (47x52)-26=
2500:  (6+46)x86=
2501:  48-27÷31=
2502:  4/90÷94÷84=
2503:  70÷12+72/17=
2504:  18+41+2=
2505:  23/3÷55+46/49=
2506:  85+100/51x71=
2507:  (34+57)-65=
2508:  69÷14÷22=
2509:  4/10÷(5+69)=
2510:  (96x11)x81=
2511:  8÷(90x92)=
2512:  81-20÷11=
2513:  (79x82)+79=
2514:  21÷34÷78=
2515:  59+(88+32)/56=
2516:  77x45x35/92=
2517:  98-2+55=
2518:  30+7x60=
2519:  25+(33+36)=
2520:  50+3÷82=
2521:  (91÷43)x47=
2522:  18+(46x83)=
2523:  60+88/90-41=
2524:  (23-21)÷20/49=
2525:  (65+58)÷92=
2526:  50-32/65+33=
2527:  (68+7)÷56=
2528:  24x81÷72/50=
2529:  56÷(38/25+78)=
2530:  78x32+21/15=
2531:  43÷43x74=
2532:  99+45/38x92=
2533:  (62+25)+18/36=
2534:  99÷94x16=
2535:  (70x45)x44=
2536:  4/92x(22x8)=
2537:  (13/90x82)/72+70=
2538:  26+(56÷41)=
2539:  32÷34x13=
2540:  56-(83÷51)=
2541:  71÷(27x70)=
2542:  (37+71)+90=
2543:  (41-10)x42/19=
2544:  (91-89)x75=
2545:  40÷(63÷19)=
2546:  (45÷21)/41÷50/12=
2547:  89/77-(47÷64)=
2548:  (66x23)x39=
2549:  (58/91+20)/80÷80=
2550:  9x33-14/82=
2551:  98-(37÷75)=
2552:  72x(36+92)/35=
2553:  38/21÷(3x48)=
2554:  (100+7)-43/62=
2555:  100+(52x74)=
2556:  (32+53)x56=
2557:  84-(76÷8)/97=
2558:  15÷(18÷2)=
2559:  (29+8)÷95/71=
2560:  55/2+(44/62÷74)=
2561:  39+(28÷29)=
2562:  (37+45)x75/3=
2563:  (5/84+86)/28x83=
2564:  21÷(8x99)=
2565:  64+99-78=
2566:  68/100+98/64÷64=
2567:  (5x37)x60=
2568:  (76-3)x86=
2569:  17+(89-20)=
2570:  (44x53)÷63=
2571:  (43÷4)+100=
2572:  (39÷46)+17/28=
2573:  (88÷48)÷60=
2574:  37x44÷69=
2575:  (35x11)÷24=
2576:  (29x45)-3=
2577:  (89-77)/66x48=
2578:  (28÷10)+44=
2579:  (86÷18)÷60=
2580:  (90/20÷64)÷57=
2581:  79+87-98=
2582:  (93÷45)+27=
2583:  56-69/60+100=
2584:  46-57/95÷5=
2585:  (4x34)÷14=
2586:  75x(66/41x29)=
2587:  15x20-48=
2588:  (11÷56)/28÷75=
2589:  39+(33/11x72)=
2590:  48/56÷37x93=
2591:  (95x67)÷32=
2592:  (9+45)x88/27=
2593:  32/31x(69÷87)=
2594:  73/35-49÷79=
2595:  90+(34/80x64)=
2596:  87÷99x30/48=
2597:  8+15+29=
2598:  53/94+(88+23)=
2599:  (37x17)/77x14/30=
2600:  14+51/41+66=
2601:  29/48÷(55/14÷51)=
2602:  21-(4x79)/68=
2603:  100x(35+20)=
2604:  50/40+77÷79=
2605:  54÷(34/2x8)=
2606:  (71x27)-59=
2607:  17+(78/1x29)=
2608:  (89+53)/63+65=
2609:  (15x47)-70=
2610:  65-11÷3/8=
2611:  98+(4+18)/72=
2612:  17+5/42÷69=
2613:  (76+24)÷49=
2614:  (46-11)-5/96=
2615:  49÷(34x92)=
2616:  (59-45)/91+9/53=
2617:  42/92÷48x74=
2618:  (86+58)+34=
2619:  50-83÷32=
2620:  (9/14x66)x89=
2621:  (59x89)x29=
2622:  16÷(51/32÷39)=
2623:  87+(66/78+77)=
2624:  95/20+(60x50)/45=
2625:  52x(27+12)=
2626:  (60+14)x82=
2627:  (43/16x34)+40=
2628:  55+47/48÷27=
2629:  83/50x(16+57)=
2630:  38/28÷(71x73)=
2631:  (76÷66)x64=
2632:  (62+25)+46/76=
2633:  48/25+82/28+53=
2634:  (23x49)-40=
2635:  100x73x77/53=
2636:  95+49/34x61=
2637:  97+(7÷6)=
2638:  11÷(51÷34)/59=
2639:  47/23-(53÷91)/29=
2640:  86÷90+98=
2641:  34/19÷50x25=
2642:  8+16+38/61=
2643:  (14x82)x56/62=
2644:  71÷(85÷19)/90=
2645:  55/32÷91÷20=
2646:  91-19+99=
2647:  (30x96)+66/62=
2648:  13÷(41x31)=
2649:  (53+4)+48/93=
2650:  (63-22)+2=
2651:  (59x75)/38÷45=
2652:  94+(76/80x63)/22=
2653:  (16+79)+53=
2654:  (87x68)+82=
2655:  (74÷62)+41=
2656:  76÷(63x98)=
2657:  19x4+41=
2658:  (45+50)-10/30=
2659:  37+(88x66)/1=
2660:  41/69+51-42=
2661:  (97+61)-18=
2662:  14÷43x68=
2663:  82x27x72=
2664:  (16+96)/74÷73=
2665:  (80-53)x32=
2666:  68÷8/53÷78=
2667:  (68+6)÷15/56=
2668:  59x(13x17)=
2669:  23÷(40x98)=
2670:  59+(68÷81)=
2671:  (59/34+75)+77=
2672:  89+18-69/35=
2673:  79/45x66+39=
2674:  42/11-23÷73=
2675:  (29/95+95)x46=
2676:  (84+67)÷100=
2677:  88÷77/51x94/68=
2678:  (96/23x80)-78=
2679:  (17x24)/52x91=
2680:  (46+37)÷92=
2681:  73/53+(75÷96)/83=
2682:  68/22+(39/39÷91)=
2683:  91x67+98=
2684:  (10+44)÷55=
2685:  49+73÷55=
2686:  49÷(63+40)=
2687:  (32x32)÷54=
2688:  (27+15)÷43=
2689:  (2÷69)/6÷16=
2690:  32/74+94-74=
2691:  (16-5)+62=
2692:  10-(50+49)/16=
2693:  (16x84)x83=
2694:  42/28÷(16/22÷49)=
2695:  (98x87)÷80=
2696:  (34+36)÷6=
2697:  (16÷19)x61=
2698:  14÷(69x12)/81=
2699:  (59÷24)/93x44/38=
2700:  44/1+92+70=
2701:  (4÷58)÷98=
2702:  46x9-97=
2703:  79x(59+25)=
2704:  (88÷92)+98=
2705:  72+(76÷61)=
2706:  61x54-47/68=
2707:  29/38x(87+71)=
2708:  (88÷49)÷7=
2709:  (16+93)x21=
2710:  (57x62)+21=
2711:  56/76÷46÷79=
2712:  46÷66÷50/100=
2713:  73+6÷27/67=
2714:  57+65-25=
2715:  (45÷76)+16=
2716:  56+13-92/14=
2717:  91+25-86=
2718:  (5+13)÷17=
2719:  (71-64)x67=
2720:  (27x51)-51=
2721:  92/10-66/82÷16=
2722:  (67x20)+25=
2723:  (86x95)-16=
2724:  (6x87)÷58=
2725:  47÷59+10=
2726:  53x(39÷57)/95=
2727:  (40x28)÷19=
2728:  79÷(52÷99)=
2729:  74-42/3-29/40=
2730:  6x13x24/96=
2731:  10-82÷15=
2732:  79÷(23+53)=
2733:  86-75/73+7=
2734:  (51x93)-59/84=
2735:  39/11x93x27/78=
2736:  68/78x97+49/70=
2737:  94x66-55=
2738:  (96÷8)-47/70=
2739:  31+60x3/81=
2740:  74+(52+100)=
2741:  7÷(25-19)=
2742:  66÷(47x80)=
2743:  1÷57/19+96=
2744:  (16÷36)+48=
2745:  (73+4)-37=
2746:  (3+81)/4÷99/94=
2747:  24-65÷18=
2748:  (61+25)+84=
2749:  (66x41)-47=
2750:  44x1/12-68/30=
2751:  100x(42/79+55)/39=
2752:  1+90-42/55=
2753:  (29+80)+77/68=
2754:  65+87x19=
2755:  75÷(42+97)=
2756:  33+(95x14)=
2757:  (43÷74)+12=
2758:  76/9÷(64-57)=
2759:  97+(70+73)=
2760:  (22÷5)x26=
2761:  39+48/99÷58=
2762:  59+86x99=
2763:  38/42+39/60+43/16=
2764:  (96÷16)x39=
2765:  (29÷64)÷36=
2766:  (37÷73)+33=
2767:  81-89÷82=
2768:  (94+64)/57÷60=
2769:  (56x17)-14=
2770:  (37/56÷19)+95=
2771:  (4/67+8)x42=
2772:  20+(5/25+55)=
2773:  28+33-48/15=
2774:  (88x70)-39=
2775:  (13+39)-62/52=
2776:  (72÷93)+32=
2777:  89-74/27+51=
2778:  9/63+17÷5/39=
2779:  87+96x60=
2780:  73÷83/35-10=
2781:  27x49-60=
2782:  (5x15)/84x34=
2783:  (66/9÷17)/43÷72=
2784:  77/6÷(81+78)=
2785:  23+12x51=
2786:  22+22÷72=
2787:  29÷(70/84+45)=
2788:  54/83+(68x38)=
2789:  (95-51)x2/97=
2790:  (64+53)-1/26=
2791:  (66/40÷5)+73/9=
2792:  29+24x76/76=
2793:  23+89x28=
2794:  (92+63)÷40=
2795:  46/81x(55/37x81)=
2796:  (40x24)÷2=
2797:  48-7÷5=
2798:  (48÷80)+100=
2799:  55÷37/65x14=
2800:  100+67/4+99=
2801:  15+(55/41+17)=
2802:  70+(81÷50)=
2803:  (88+87)x51=
2804:  43-(69x35)/98=
2805:  (82/25+14)+39=
2806:  (1÷97)÷23/13=
2807:  64÷(58/38÷73)=
2808:  14÷(90+8)=
2809:  7x(47+60)=
2810:  69÷28x89=
2811:  25+93÷83=
2812:  19-27x48/82=
2813:  37x96÷51=
2814:  6+(92+26)=
2815:  (36÷66)÷96/36=
2816:  63x(38/44÷85)/96=
2817:  44+(1÷31)=
2818:  74x38÷97=
2819:  30x58+36=
2820:  45÷55/14+100/8=
2821:  48÷58/82-89/100=
2822:  1+92x6=
2823:  (61x43)x47=
2824:  (62x30)/87x58/92=
2825:  41x(63÷9)=
2826:  25/64÷92/5x57=
2827:  31/71x(49÷83)=
2828:  21÷15x95=
2829:  (23+36)x71=
2830:  (60x62)-48=
2831:  (84x14)+29=
2832:  73/76+48/79÷71=
2833:  51x(79/48+18)=
2834:  1÷(64+10)=
2835:  63+79+42=
2836:  67/93+(55/10+26)=
2837:  52x(10÷34)=
2838:  89/3x(15÷34)=
2839:  3÷73x53=
2840:  (56+95)x47=
2841:  46+(98÷19)=
2842:  84+(31+64)/69=
2843:  (21+25)+77=
2844:  7x(2x3)=
2845:  15/12+23/2÷9=
2846:  54+52x93=
2847:  1+(21+90)=
2848:  71+(71x84)=
2849:  44x(74-55)=
2850:  23+39-33=
2851:  93÷(33+9)=
2852:  60x(60x43)=
2853:  72÷5x75=
2854:  49÷40x73=
2855:  6x59÷11/61=
2856:  94-(80/71+2)=
2857:  56/69÷(11÷23)=
2858:  (85x20)x83=
2859:  (66/42÷52)÷19/30=
2860:  (74/100÷52)÷76=
2861:  (40/90x15)x26/56=
2862:  1x23/39÷96/60=
2863:  87x58+6=
2864:  (93x12)-55=
2865:  56-88/46÷86=
2866:  55÷(60+19)=
2867:  100+80-99=
2868:  (93/28+93)÷4=
2869:  (61+36)+70=
2870:  99÷(76÷50)=
2871:  56+38-36/3=
2872:  52-32-11=
2873:  75÷(43/70÷19)/85=
2874:  92x83+88=
2875:  36-72÷72=
2876:  (91+27)x88=
2877:  72/66÷34÷91=
2878:  11x42+93=
2879:  14÷78÷45=
2880:  (96-74)÷91/9=
2881:  26÷(82+67)=
2882:  91x(10x16)=
2883:  62x91+35=
2884:  69x73/75-63/41=
2885:  74÷(2/79+74)=
2886:  53/9+(27x92)/25=
2887:  (82+61)/51÷63=
2888:  96÷76x67=
2889:  (15x22)/58x72=
2890:  93/48x(55/36x7)/27=
2891:  (24x83)÷70=
2892:  72+41-98=
2893:  66÷(10+56)=
2894:  71÷(5+70)=
2895:  (29+71)/86÷6=
2896:  6÷55+2=
2897:  17x(14÷63)=
2898:  (47+94)-45/10=
2899:  84x(25x72)=
2900:  9/94x(56÷91)/16=
2901:  (24÷37)/11+79=
2902:  35-(95÷68)=
2903:  17x(75/4÷84)=
2904:  25÷(59+50)=
2905:  (88-37)-23/22=
2906:  83-(22÷98)=
2907:  17x81+18/49=
2908:  4/19x(21÷10)/55=
2909:  70÷34+12=
2910:  (80+40)-1=
2911:  84÷(40-16)=
2912:  63+16x62=
2913:  (82/68x56)+95=
2914:  69÷(84÷64)=
2915:  6/92÷(53+29)=
2916:  88÷(29÷8)=
2917:  25÷(68x59)=
2918:  (14+19)÷56=
2919:  11+(83x50)/35=
2920:  1-49÷60=
2921:  60+16+58=
2922:  1+8/26+43=
2923:  (12x19)/26x72=
2924:  54x67-45=
2925:  60÷(11x1)=
2926:  46/45x(70+19)=
2927:  69÷(92x55)=
2928:  (59x94)+77/42=
2929:  15x92+37=
2930:  (76-9)x70=
2931:  83/68+(61÷95)=
2932:  42/75x(24/23+45)=
2933:  40x72/52x99=
2934:  (36+11)-45/100=
2935:  (2+50)+16=
2936:  24/19+5x74=
2937:  51+86+44=
2938:  40/15+(91-33)=
2939:  42/34+(98+99)=
2940:  41+(59/91x82)/30=
2941:  6÷(43-17)=
2942:  3÷52+9=
2943:  (62-37)÷26=
2944:  17-(100÷95)=
2945:  17+(39+19)/24=
2946:  49/6-(71+68)/35=
2947:  91/33x90÷56/60=
2948:  59x(84÷83)=
2949:  (38x46)x3=
2950:  56x(34+17)/100=
2951:  (74/43x18)+52=
2952:  99+(28/35x26)=
2953:  61x39÷46=
2954:  (87÷12)÷35/95=
2955:  22x(100x13)=
2956:  (60-54)/24x36=
2957:  30x55÷68=
2958:  20÷56+61=
2959:  20x71+59=
2960:  56x95+24=
2961:  95÷51+22=
2962:  58-77/85x61=
2963:  (16+7)÷100/45=
2964:  19÷(42+12)/60=
2965:  (18÷18)+37=
2966:  38+(80÷64)=
2967:  7x26÷58/24=
2968:  (75+39)+32=
2969:  77+6+88=
2970:  (56/89+69)÷81/53=
2971:  22x68-11=
2972:  74÷(80÷96)=
2973:  98-(69-61)=
2974:  72÷8/78x25=
2975:  (15+39)x30=
2976:  (84/20x70)/1÷8=
2977:  (78-9)/48x55=
2978:  100÷45/58÷56=
2979:  91÷(98/20x34)=
2980:  (21x53)÷16=
2981:  44x(39+94)=
2982:  (78x22)-24=
2983:  (81/21+50)x25=
2984:  47x(85-84)/28=
2985:  60÷54/35+100=
2986:  22x(97+16)/24=
2987:  18-34/69+64=
2988:  92/69+43x97=
2989:  50+(10/2+66)=
2990:  39x(45/52+16)=
2991:  20x90x79=
2992:  (26÷77)÷61/93=
2993:  46x(67÷32)=
2994:  35÷(93-30)/32=
2995:  31÷(26/24x91)/76=
2996:  (97-8)-75=
2997:  57÷(83÷34)=
2998:  64/49+(35/49x17)=
2999:  (38x85)/9-55=
3000:  39÷96+34=
3001:  85x12+67/87=
3002:  82x67-38=
3003:  94+(15x26)=
3004:  62-25÷20=
3005:  (31x70)÷98/28=
3006:  (9x6)÷73=
3007:  80x13-71=
3008:  14+(56+45)=
3009:  (33x65)-49=
3010:  (52÷19)+37=
3011:  (62+96)÷54=
3012:  57+(8÷7)=
3013:  (65-52)/78x41/83=
3014:  (97-91)x12=
3015:  (94x65)-76/47=
3016:  84-47/56+94=
3017:  2x59x16/5=
3018:  12+(100+98)/18=
3019:  28÷17/6x43=
3020:  87÷(68x60)/73=
3021:  88/80÷11+33=
3022:  83÷(3+20)/76=
3023:  (57x46)x77/94=
3024:  25x89/5+100=
3025:  6+14÷18=
3026:  89x35-25/100=
3027:  (88x58)÷78=
3028:  12x(98-73)/17=
3029:  46-(91/49÷96)=
3030:  75x(63+31)=
3031:  4-(76/72+20)/80=
3032:  95-(11÷20)=
3033:  37+(18÷71)=
3034:  62/66÷41/59÷42=
3035:  95x94+61=
3036:  62-29+35=
3037:  70+18÷37=
3038:  (53x2)/35x43=
3039:  40x(90÷68)=
3040:  9x77+28=
3041:  (39/26x67)-65/58=
3042:  100-21+67=
3043:  (47÷42)÷18=
3044:  93/96+83x6/38=
3045:  75÷(93-72)=
3046:  68+(23÷86)=
3047:  70÷(16÷56)/73=
3048:  (67÷1)+6=
3049:  32-89/88+12/69=
3050:  (44x56)+10=
3051:  (61/57+7)/20÷87=
3052:  (33+52)÷20=
3053:  34-(72+55)/99=
3054:  80/99÷(61÷53)=
3055:  11/39x(78x20)=
3056:  13+(85+1)=
3057:  (95x69)+94=
3058:  60x25÷1=
3059:  (10+31)÷91=
3060:  5+(28x23)/73=
3061:  57/85x91÷10/33=
3062:  51x6-38=
3063:  5+48-40=
3064:  51÷64+6=
3065:  68x39x42=
3066:  71x97÷11=
3067:  73/66÷84x71=
3068:  2+28/61x89=
3069:  10÷12x85=
3070:  89÷43+78=
3071:  92-31÷21/21=
3072:  (33+19)-25=
3073:  (72-11)x62/67=
3074:  52/38x(36-3)=
3075:  (47+41)x92=
3076:  (41x62)÷51=
3077:  63-55/88x45=
3078:  77÷(65x5)/54=
3079:  47x12÷87=
3080:  81+(9÷74)=
3081:  56÷14+71=
3082:  68÷84÷57/13=
3083:  33+(15÷10)=
3084:  58/79+41÷55=
3085:  88÷(52÷4)=
3086:  (56x71)÷92=
3087:  (19x82)-23=
3088:  (93/75+87)-53=
3089:  (77÷42)+29=
3090:  65x(72-37)=
3091:  39x83/76+98=
3092:  67x(70-6)=
3093:  (29x30)x44/44=
3094:  47÷80x95=
3095:  81/28x(32-9)=
3096:  (47-45)/80÷35=
3097:  (44÷76)+97=
3098:  (100÷5)/12x97=
3099:  80-10/41x6=
3100:  47x(73-9)=
3101:  (100-18)+58=
3102:  19+(61+49)/74=
3103:  92-(50+14)=
3104:  50+(87+30)/91=
3105:  71-5-21/27=
3106:  56/92÷(40÷30)/34=
3107:  71-(88÷77)=
3108:  81÷32÷40/37=
3109:  (40+52)/96÷69=
3110:  (91+55)x51=
3111:  38x97x73=
3112:  11÷9x40/11=
3113:  99÷(94-91)=
3114:  32÷(41+42)/30=
3115:  56+(29+16)=
3116:  17+(50x30)=
3117:  3÷(63÷90)=
3118:  40+(75-33)/69=
3119:  (55÷8)+33=
3120:  (14x24)x79=
3121:  (34+92)+68=
3122:  80+(35+53)=
3123:  55x41/90÷3/87=
3124:  100+(53÷35)/18=
3125:  68x(33÷12)/60=
3126:  97x98x67=
3127:  10x72x97=
3128:  42-(37÷21)/58=
3129:  (20x35)÷43=
3130:  66÷(42/65÷3)=
3131:  17+(18/45+96)/93=
3132:  70+25/13+65=
3133:  28÷(46x82)/6=
3134:  61+46/52+97/32=
3135:  (80+6)+98=
3136:  67x(7/91x5)=
3137:  39+67-27=
3138:  77÷(70x9)=
3139:  94-(46-42)=
3140:  (18+50)-24=
3141:  76/47+(68+71)=
3142:  73÷38÷3=
3143:  24x37/61x41=
3144:  23÷(34+7)/55=
3145:  (44-5)÷34=
3146:  3/42+(45x27)=
3147:  (89-20)÷10=
3148:  5+23+85/56=
3149:  37+80÷23=
3150:  47+10+6=
3151:  22÷(50x39)=
3152:  13÷(97x17)=
3153:  (95+74)+10=
3154:  24+(71/49+70)/57=
3155:  (53-50)÷52/37=
3156:  86-82+23=
3157:  14+(81+58)=
3158:  58÷92x100/53=
3159:  26/86+64+12=
3160:  86+84+63=
3161:  26÷58/55-16=
3162:  (27÷8)÷83=
3163:  41x61-34=
3164:  9x(98/9x30)=
3165:  73+92+55=
3166:  (91/25x77)/1-100/15=
3167:  (26x90)-3=
3168:  98÷(31/88+51)/11=
3169:  (26+93)/55x35=
3170:  83/10÷36+27/24=
3171:  (84/2÷97)/57+57=
3172:  35÷78+10/50=
3173:  (98/91+87)+1=
3174:  81-17÷70=
3175:  92x58÷16/51=
3176:  9+96-74=
3177:  (47x10)-71/61=
3178:  (72÷69)x68/63=
3179:  (49/46÷8)+86=
3180:  30/13x45/81x59=
3181:  (67+64)x18=
3182:  62÷77x29=
3183:  86-(29/80x87)=
3184:  53x(45÷88)/99=
3185:  70/67x84÷35=
3186:  45-46/12+56/73=
3187:  (28+6)x60=
3188:  55-2/40x19=
3189:  41-3+19=
3190:  (17/40x1)÷67=
3191:  (85÷92)x51=
3192:  (70x15)x42=
3193:  52-77/55+23/47=
3194:  37÷14x41=
3195:  66/7÷(74x91)=
3196:  38+(64/34+99)=
3197:  (70+79)-13=
3198:  21÷(41x17)/24=
3199:  (3/96÷50)x71/62=
3200:  54+(52÷50)/80=
3201:  97+80x94=
3202:  65+71÷85=
3203:  (79+98)-35=
3204:  74÷74+96=
3205:  (53-52)÷68=
3206:  15÷73/27x36=
3207:  6x24x13=
3208:  80x(66+17)=
3209:  (69x78)÷76/7=
3210:  (1x77)-49=
3211:  38/38÷27/7x5=
3212:  (36/38x32)÷97/88=
3213:  99x9-41/20=
3214:  82x(7+70)=
3215:  (91-31)/67+84=
3216:  (71x96)+6/91=
3217:  (25+51)+91=
3218:  44+11-27=
3219:  (32+58)÷13=
3220:  4÷30x93=
3221:  (56÷67)+70=
3222:  78+(83x27)/19=
3223:  (6÷66)/41÷3/92=
3224:  69+16x57=
3225:  (98+50)/84+25=
3226:  72-(99/67x40)=
3227:  78÷(77÷100)=
3228:  (63x50)-51=
3229:  30-14-15/22=
3230:  97÷30+7=
3231:  26÷70÷17=
3232:  55+45+75=
3233:  (76/26÷7)/89x13/82=
3234:  70÷6+99/9=
3235:  43+80-25=
3236:  88-36÷73=
3237:  51+19-47=
3238:  (72+40)-86=
3239:  60/2x64/41x78/64=
3240:  95-(44÷82)=
3241:  30/29x(76+5)=
3242:  6+(5+67)=
3243:  (82x95)x23=
3244:  39-(69+64)/29=
3245:  84-16+85=
3246:  87-(31÷44)=
3247:  (96x60)-8=
3248:  10-(29/62÷91)=
3249:  21/88÷(45+71)=
3250:  85x(80-46)=
3251:  49+90/47+29=
3252:  2÷93/64+15=
3253:  28/87x41x95/65=
3254:  43+71+79=
3255:  (15x67)-100=
3256:  43x(57+3)=
3257:  37/94+(26÷97)=
3258:  56+85x12/20=
3259:  94-(85÷92)=
3260:  35÷(49+42)=
3261:  (41÷47)x99=
3262:  36÷63÷46=
3263:  2x59÷38=
3264:  (9x81)x5=
3265:  1+(95/1x41)=
3266:  (17x100)/1÷73/6=
3267:  (7+44)x21=
3268:  37x(95-12)/70=
3269:  (41÷48)+7=
3270:  74/37+18÷19=
3271:  70+(35x4)/67=
3272:  60+77x67=
3273:  52+4÷72=
3274:  (19x51)x11=
3275:  3÷11÷99=
3276:  56+(33/83÷62)=
3277:  50x(26/36+81)=
3278:  (56x65)÷13=
3279:  (72/17x19)÷12=
3280:  35÷59x30=
3281:  22-35/30+78=
3282:  46-(1÷84)/7=
3283:  (35-19)x20=
3284:  42+13/63x79=
3285:  (18x60)+97=
3286:  79x(82+5)=
3287:  (54/32x67)x2=
3288:  54+75÷84=
3289:  80/43+76/49x49=
3290:  65/11-78/42÷10=
3291:  13/87x(70÷88)=
3292:  (83-30)x85=
3293:  96/58x52+43=
3294:  (58-16)÷69/30=
3295:  46x(100+4)/61=
3296:  (3/23÷4)x27/23=
3297:  (7x75)/73÷15/94=
3298:  (95÷71)÷90=
3299:  (97-38)-48=
3300:  84/75x(11x94)=
3301:  73-60+31/97=
3302:  53÷81/53÷46=
3303:  (62+21)+70/60=
3304:  32/18x(57-51)/47=
3305:  95x75+87/51=
3306:  (57x11)÷51/20=
3307:  75x90÷85=
3308:  (66x10)÷50/27=
3309:  15÷(45x95)=
3310:  9÷(20x54)=
3311:  40/32÷(3x69)/33=
3312:  32+(70x78)=
3313:  (78-62)÷38=
3314:  (33x82)÷21/76=
3315:  (94x97)÷13=
3316:  46+80-89=
3317:  (24+87)x73/70=
3318:  97-75x36/67=
3319:  (66/84+43)÷2=
3320:  34-(45÷82)=
3321:  (68/60÷13)x26=
3322:  (69+24)+40=
3323:  (46/97÷61)/90+75/62=
3324:  61÷25÷15=
3325:  2x61÷14=
3326:  74x(76x10)=
3327:  (76/29x70)x63=
3328:  74-(95+13)/30=
3329:  (5÷84)÷44=
3330:  55/70+5÷8=
3331:  38/1+(32÷17)=
3332:  8/57+(86÷34)=
3333:  (70x37)÷52=
3334:  15/70÷(22x36)/6=
3335:  72x(8÷93)/53=
3336:  (34+71)/43÷92/83=
3337:  84+(73+55)=
3338:  57-34/73-52=
3339:  23÷(42x74)=
3340:  2x38+29=
3341:  89x16-3=
