1:  17/63x48÷17=16/21
2402:  (40÷11)÷99=40/1089
2403:  (48-31)÷11/16=24’8/11
2404:  25+(16x31)=521
2405:  (79x53)x87=364269
2406:  54+78x68/7=811’5/7
2407:  (27+1)-54/55=27’1/55
2408:  (56+41)-23=74
2409:  50+(2÷33)=50’2/33
2410:  71/15+60+14=78’11/15
2411:  (77+5)÷61=1’21/61
2412:  62+(49x25)=1287
2413:  51+(68+76)=195
2414:  40÷68+64/7=9’87/119
2415:  54x(47+63)=5940
2416:  (97+21)/87+24=25’31/87
2417:  83+65x16=1123
2418:  99-(29÷19)=97’9/19
2419:  67x6x3=1206
2420:  (8÷62)/55+89=89’4/1705
2421:  (96-23)/20+77=80’13/20
2422:  (40+69)-54=55
2423:  (83+20)-95=8
2424:  87-88÷92=86’1/23
2425:  2÷(12÷51)/48=408
2426:  29-(24x36)/66=15’10/11
2427:  82+(96-51)=127
2428:  91/83÷(34+54)=91/7304
2429:  (18+60)+50=128
2430:  14+61/88+1=15’61/88
2431:  34+75x91/42=196’1/2
2432:  (81x72)+4/9=5832’4/9
2433:  (35x12)-13/42=419’29/42
2434:  (93÷92)x4=4’1/23
2435:  66/17x85÷84=3’13/14
2436:  33/44+(34x9)=306’3/4
2437:  17x89x39=59007
2438:  51/85x(66÷76)=99/190
2439:  (93÷15)/55÷95=31/26125
2440:  56+61÷91=56’61/91
2441:  (36x86)-76=3020
2442:  (20x50)÷80=12’1/2
2443:  8÷(66x81)/98=392/2673
2444:  79+(95x68)=6539
2445:  85/25+(91x72)=6555’2/5
2446:  (68x98)÷93=71’61/93
2447:  22÷99+2=2’2/9
2448:  (79x59)÷58=80’21/58
2449:  22-23/11+94=113’10/11
2450:  89÷(62+62)=89/124
2451:  (79+63)/99x41=58’80/99
2452:  59/75+(29÷86)=1’799/6450
2453:  26x17x2=884
2454:  46x(80/55x15)=1003’7/11
2455:  28/38x(92x17)=1152’8/19
2456:  30/36x(55÷22)=2’1/12
2457:  (50÷25)/96÷79/3=1/1264
2458:  83÷(76/10x84)=415/3192
2459:  8+57x54=3086
2460:  78÷98+97=97’39/49
2461:  (79x69)-72=5379
2462:  (75÷6)x99=1237’1/2
2463:  27/98+(65÷69)=1’1471/6762
2464:  50+100x77/82=143’37/41
2465:  37-1/68x34=36’1/2
2466:  56-(33÷8)=51’7/8
2467:  90-74/66+98=186’29/33
2468:  96x(75÷2)=3600
2469:  (38÷43)x33=29’7/43
2470:  13x(4÷25)/87=52/2175
2471:  24+83-97/2=58’1/2
2472:  33+97-77=53
2473:  (82x56)+31=4623
2474:  7+72+46=125
2475:  5÷59÷62=5/3658
2476:  84x90-38=7522
2477:  28x(36+66)=2856
2478:  16÷(23/86÷21)/62=77893’13/23
2479:  (87x32)/27÷90/97=111’53/405
2480:  95/70÷(7x1)/68=13’9/49
2481:  (7x89)x74=46102
2482:  73÷(13/2-2)=16’2/9
2483:  (25+4)÷16=1’13/16
2484:  46+(8÷69)=46’8/69
2485:  (7/22÷38)÷29=7/24244
2486:  72+3÷14/20=76’2/7
2487:  26/33+18+92=110’26/33
2488:  77÷(14÷29)=159’1/2
2489:  7+16/70÷4=7’2/35
2490:  79+(94-87)=86
2491:  46/54+(79+39)=118’23/27
2492:  40-34+76=82
2493:  (7÷68)+47=47’7/68
2494:  38-(67/38+95)/76=36’2099/2888
2495:  86÷73/90÷81=1’203/657
2496:  64x(18÷54)=21’1/3
2497:  95÷(43÷20)=44’8/43
2498:  73x(76÷66)=84’2/33
2499:  (47x52)-26=2418
2500:  (6+46)x86=4472
2501:  48-27÷31=47’4/31
2502:  4/90÷94÷84=1/177660
2503:  70÷12+72/17=10’7/102
2504:  18+41+2=61
2505:  23/3÷55+46/49=1’632/8085
2506:  85+100/51x71=224’11/51
2507:  (34+57)-65=26
2508:  69÷14÷22=69/308
2509:  4/10÷(5+69)=1/185
2510:  (96x11)x81=85536
2511:  8÷(90x92)=1/1035
2512:  81-20÷11=79’2/11
2513:  (79x82)+79=6557
2514:  21÷34÷78=7/884
2515:  59+(88+32)/56=61’1/7
2516:  77x45x35/92=1318’19/92
2517:  98-2+55=151
2518:  30+7x60=450
2519:  25+(33+36)=94
2520:  50+3÷82=50’3/82
2521:  (91÷43)x47=99’20/43
2522:  18+(46x83)=3836
2523:  60+88/90-41=19’44/45
2524:  (23-21)÷20/49=4’9/10
2525:  (65+58)÷92=1’31/92
2526:  50-32/65+33=82’33/65
2527:  (68+7)÷56=1’19/56
2528:  24x81÷72/50=1350
2529:  56÷(38/25+78)=50/71
2530:  78x32+21/15=2497’2/5
2531:  43÷43x74=74
2532:  99+45/38x92=207’18/19
2533:  (62+25)+18/36=87’1/2
2534:  99÷94x16=16’40/47
2535:  (70x45)x44=138600
2536:  4/92x(22x8)=7’15/23
2537:  (13/90x82)/72+70=70’533/3240
2538:  26+(56÷41)=27’15/41
2539:  32÷34x13=12’4/17
2540:  56-(83÷51)=54’19/51
2541:  71÷(27x70)=71/1890
2542:  (37+71)+90=198
2543:  (41-10)x42/19=68’10/19
2544:  (91-89)x75=150
2545:  40÷(63÷19)=12’4/63
2546:  (45÷21)/41÷50/12=18/1435
2547:  89/77-(47÷64)=2077/4928
2548:  (66x23)x39=59202
2549:  (58/91+20)/80÷80=939/291200
2550:  9x33-14/82=296’34/41
2551:  98-(37÷75)=97’38/75
2552:  72x(36+92)/35=263’11/35
2553:  38/21÷(3x48)=19/1512
2554:  (100+7)-43/62=106’19/62
2555:  100+(52x74)=3948
2556:  (32+53)x56=4760
2557:  84-(76÷8)/97=83’175/194
2558:  15÷(18÷2)=1’2/3
2559:  (29+8)÷95/71=27’62/95
2560:  55/2+(44/62÷74)=27’1169/2294
2561:  39+(28÷29)=39’28/29
2562:  (37+45)x75/3=2050
2563:  (5/84+86)/28x83=255’247/2352
2564:  21÷(8x99)=7/264
2565:  64+99-78=85
2566:  68/100+98/64÷64=36041/51200
2567:  (5x37)x60=11100
2568:  (76-3)x86=6278
2569:  17+(89-20)=86
2570:  (44x53)÷63=37’1/63
2571:  (43÷4)+100=110’3/4
2572:  (39÷46)+17/28=1’293/644
2573:  (88÷48)÷60=11/360
2574:  37x44÷69=23’41/69
2575:  (35x11)÷24=16’1/24
2576:  (29x45)-3=1302
2577:  (89-77)/66x48=8’8/11
2578:  (28÷10)+44=46’4/5
2579:  (86÷18)÷60=43/540
2580:  (90/20÷64)÷57=3/2432
2581:  79+87-98=68
2582:  (93÷45)+27=29’1/15
2583:  56-69/60+100=154’17/20
2584:  46-57/95÷5=45’22/25
2585:  (4x34)÷14=9’5/7
2586:  75x(66/41x29)=3501’9/41
2587:  15x20-48=252
2588:  (11÷56)/28÷75=11/117600
2589:  39+(33/11x72)=255
2590:  48/56÷37x93=2’40/259
2591:  (95x67)÷32=198’29/32
2592:  (9+45)x88/27=176
2593:  32/31x(69÷87)=736/899
2594:  73/35-49÷79=1’1287/2765
2595:  90+(34/80x64)=117’1/5
2596:  87÷99x30/48=145/264
2597:  8+15+29=52
2598:  53/94+(88+23)=111’53/94
2599:  (37x17)/77x14/30=3’134/165
2600:  14+51/41+66=81’10/41
2601:  29/48÷(55/14÷51)=7’371/440
2602:  21-(4x79)/68=16’6/17
2603:  100x(35+20)=5500
2604:  50/40+77÷79=2’71/316
2605:  54÷(34/2x8)=27/68
2606:  (71x27)-59=1858
2607:  17+(78/1x29)=2279
2608:  (89+53)/63+65=67’16/63
2609:  (15x47)-70=635
2610:  65-11÷3/8=35’2/3
2611:  98+(4+18)/72=98’11/36
2612:  17+5/42÷69=17’5/2898
2613:  (76+24)÷49=2’2/49
2614:  (46-11)-5/96=34’91/96
2615:  49÷(34x92)=49/3128
2616:  (59-45)/91+9/53=223/689
2617:  42/92÷48x74=259/368
2618:  (86+58)+34=178
2619:  50-83÷32=47’13/32
2620:  (9/14x66)x89=3776’1/7
2621:  (59x89)x29=152279
2622:  16÷(51/32÷39)=391’9/17
2623:  87+(66/78+77)=164’11/13
2624:  95/20+(60x50)/45=71’5/12
2625:  52x(27+12)=2028
2626:  (60+14)x82=6068
2627:  (43/16x34)+40=131’3/8
2628:  55+47/48÷27=55’47/1296
2629:  83/50x(16+57)=121’9/50
2630:  38/28÷(71x73)=19/72562
2631:  (76÷66)x64=73’23/33
2632:  (62+25)+46/76=87’23/38
2633:  48/25+82/28+53=57’297/350
2634:  (23x49)-40=1087
2635:  100x73x77/53=10605’35/53
2636:  95+49/34x61=182’31/34
2637:  97+(7÷6)=98’1/6
2638:  11÷(51÷34)/59=432’2/3
2639:  47/23-(53÷91)/29=2’1420/60697
2640:  86÷90+98=98’43/45
2641:  34/19÷50x25=17/19
2642:  8+16+38/61=24’38/61
2643:  (14x82)x56/62=1036’28/31
2644:  71÷(85÷19)/90=1428’6/17
2645:  55/32÷91÷20=11/11648
2646:  91-19+99=171
2647:  (30x96)+66/62=2881’2/31
2648:  13÷(41x31)=13/1271
2649:  (53+4)+48/93=57’16/31
2650:  (63-22)+2=43
2651:  (59x75)/38÷45=2’67/114
2652:  94+(76/80x63)/22=96’317/440
2653:  (16+79)+53=148
2654:  (87x68)+82=5998
2655:  (74÷62)+41=42’6/31
2656:  76÷(63x98)=38/3087
2657:  19x4+41=117
2658:  (45+50)-10/30=94’2/3
2659:  37+(88x66)/1=5845
2660:  41/69+51-42=9’41/69
2661:  (97+61)-18=140
2662:  14÷43x68=22’6/43
2663:  82x27x72=159408
2664:  (16+96)/74÷73=56/2701
2665:  (80-53)x32=864
2666:  68÷8/53÷78=5’121/156
2667:  (68+6)÷15/56=276’4/15
2668:  59x(13x17)=13039
2669:  23÷(40x98)=23/3920
2670:  59+(68÷81)=59’68/81
2671:  (59/34+75)+77=153’25/34
2672:  89+18-69/35=105’1/35
2673:  79/45x66+39=154’13/15
2674:  42/11-23÷73=3’404/803
2675:  (29/95+95)x46=4384’4/95
2676:  (84+67)÷100=1’51/100
2677:  88÷77/51x94/68=80’4/7
2678:  (96/23x80)-78=255’21/23
2679:  (17x24)/52x91=714
2680:  (46+37)÷92=83/92
2681:  73/53+(75÷96)/83=1’54445/140768
2682:  68/22+(39/39÷91)=3’102/1001
2683:  91x67+98=6195
2684:  (10+44)÷55=54/55
2685:  49+73÷55=50’18/55
2686:  49÷(63+40)=49/103
2687:  (32x32)÷54=18’26/27
2688:  (27+15)÷43=42/43
2689:  (2÷69)/6÷16=1/3312
2690:  32/74+94-74=20’16/37
2691:  (16-5)+62=73
2692:  10-(50+49)/16=3’13/16
2693:  (16x84)x83=111552
2694:  42/28÷(16/22÷49)=101’1/16
2695:  (98x87)÷80=106’23/40
2696:  (34+36)÷6=11’2/3
2697:  (16÷19)x61=51’7/19
2698:  14÷(69x12)/81=1’17/46
2699:  (59÷24)/93x44/38=649/21204
2700:  44/1+92+70=206
2701:  (4÷58)÷98=1/1421
2702:  46x9-97=317
2703:  79x(59+25)=6636
2704:  (88÷92)+98=98’22/23
2705:  72+(76÷61)=73’15/61
2706:  61x54-47/68=3293’21/68
2707:  29/38x(87+71)=120’11/19
2708:  (88÷49)÷7=88/343
2709:  (16+93)x21=2289
2710:  (57x62)+21=3555
2711:  56/76÷46÷79=7/34523
2712:  46÷66÷50/100=1’13/33
2713:  73+6÷27/67=87’8/9
2714:  57+65-25=97
2715:  (45÷76)+16=16’45/76
2716:  56+13-92/14=62’3/7
2717:  91+25-86=30
2718:  (5+13)÷17=1’1/17
2719:  (71-64)x67=469
2720:  (27x51)-51=1326
2721:  92/10-66/82÷16=9’491/3280
2722:  (67x20)+25=1365
2723:  (86x95)-16=8154
2724:  (6x87)÷58=9
2725:  47÷59+10=10’47/59
2726:  53x(39÷57)/95=689/1805
2727:  (40x28)÷19=58’18/19
2728:  79÷(52÷99)=150’21/52
2729:  74-42/3-29/40=59’11/40
2730:  6x13x24/96=19’1/2
2731:  10-82÷15=4’8/15
2732:  79÷(23+53)=1’3/76
2733:  86-75/73+7=91’71/73
2734:  (51x93)-59/84=4742’25/84
2735:  39/11x93x27/78=114’3/22
2736:  68/78x97+49/70=85’103/390
2737:  94x66-55=6149
2738:  (96÷8)-47/70=11’23/70
2739:  31+60x3/81=33’2/9
2740:  74+(52+100)=226
2741:  7÷(25-19)=1’1/6
2742:  66÷(47x80)=33/1880
2743:  1÷57/19+96=96’1/3
2744:  (16÷36)+48=48’4/9
2745:  (73+4)-37=40
2746:  (3+81)/4÷99/94=19’31/33
2747:  24-65÷18=20’7/18
2748:  (61+25)+84=170
2749:  (66x41)-47=2659
2750:  44x1/12-68/30=1’2/5
2751:  100x(42/79+55)/39=142’1198/3081
2752:  1+90-42/55=90’13/55
2753:  (29+80)+77/68=110’9/68
2754:  65+87x19=1718
2755:  75÷(42+97)=75/139
2756:  33+(95x14)=1363
2757:  (43÷74)+12=12’43/74
2758:  76/9÷(64-57)=1’13/63
2759:  97+(70+73)=240
2760:  (22÷5)x26=114’2/5
2761:  39+48/99÷58=39’8/957
2762:  59+86x99=8573
2763:  38/42+39/60+43/16=4’407/1680
2764:  (96÷16)x39=234
2765:  (29÷64)÷36=29/2304
2766:  (37÷73)+33=33’37/73
2767:  81-89÷82=79’75/82
2768:  (94+64)/57÷60=79/1710
2769:  (56x17)-14=938
2770:  (37/56÷19)+95=95’37/1064
2771:  (4/67+8)x42=338’34/67
2772:  20+(5/25+55)=75’1/5
2773:  28+33-48/15=57’4/5
2774:  (88x70)-39=6121
2775:  (13+39)-62/52=50’21/26
2776:  (72÷93)+32=32’24/31
2777:  89-74/27+51=137’7/27
2778:  9/63+17÷5/39=132’26/35
2779:  87+96x60=5847
2780:  73÷83/35-10=20’65/83
2781:  27x49-60=1263
2782:  (5x15)/84x34=30’5/14
2783:  (66/9÷17)/43÷72=11/78948
2784:  77/6÷(81+78)=77/954
2785:  23+12x51=635
2786:  22+22÷72=22’11/36
2787:  29÷(70/84+45)=174/275
2788:  54/83+(68x38)=2584’54/83
2789:  (95-51)x2/97=88/97
2790:  (64+53)-1/26=116’25/26
2791:  (66/40÷5)+73/9=8’397/900
2792:  29+24x76/76=53
2793:  23+89x28=2515
2794:  (92+63)÷40=3’7/8
2795:  46/81x(55/37x81)=68’14/37
2796:  (40x24)÷2=480
2797:  48-7÷5=46’3/5
2798:  (48÷80)+100=100’3/5
2799:  55÷37/65x14=1352’26/37
2800:  100+67/4+99=215’3/4
2801:  15+(55/41+17)=33’14/41
2802:  70+(81÷50)=71’31/50
2803:  (88+87)x51=8925
2804:  43-(69x35)/98=18’5/14
2805:  (82/25+14)+39=56’7/25
2806:  (1÷97)÷23/13=13/2231
2807:  64÷(58/38÷73)=3060’28/29
2808:  14÷(90+8)=1/7
2809:  7x(47+60)=749
2810:  69÷28x89=219’9/28
2811:  25+93÷83=26’10/83
2812:  19-27x48/82=3’8/41
2813:  37x96÷51=69’11/17
2814:  6+(92+26)=124
2815:  (36÷66)÷96/36=9/44
2816:  63x(38/44÷85)/96=399/59840
2817:  44+(1÷31)=44’1/31
2818:  74x38÷97=28’96/97
2819:  30x58+36=1776
2820:  45÷55/14+100/8=23’21/22
2821:  48÷58/82-89/100=66’2819/2900
2822:  1+92x6=553
2823:  (61x43)x47=123281
2824:  (62x30)/87x58/92=13’11/23
2825:  41x(63÷9)=287
2826:  25/64÷92/5x57=1’1237/5888
2827:  31/71x(49÷83)=1519/5893
2828:  21÷15x95=133
2829:  (23+36)x71=4189
2830:  (60x62)-48=3672
2831:  (84x14)+29=1205
2832:  73/76+48/79÷71=413105/426284
2833:  51x(79/48+18)=1001’15/16
2834:  1÷(64+10)=1/74
2835:  63+79+42=184
2836:  67/93+(55/10+26)=32’41/186
2837:  52x(10÷34)=15’5/17
2838:  89/3x(15÷34)=13’3/34
2839:  3÷73x53=2’13/73
2840:  (56+95)x47=7097
2841:  46+(98÷19)=51’3/19
2842:  84+(31+64)/69=85’26/69
2843:  (21+25)+77=123
2844:  7x(2x3)=42
2845:  15/12+23/2÷9=2’19/36
2846:  54+52x93=4890
2847:  1+(21+90)=112
2848:  71+(71x84)=6035
2849:  44x(74-55)=836
2850:  23+39-33=29
2851:  93÷(33+9)=2’3/14
2852:  60x(60x43)=154800
2853:  72÷5x75=1080
2854:  49÷40x73=89’17/40
2855:  6x59÷11/61=1963’1/11
2856:  94-(80/71+2)=90’62/71
2857:  56/69÷(11÷23)=1’23/33
2858:  (85x20)x83=141100
2859:  (66/42÷52)÷19/30=165/3458
2860:  (74/100÷52)÷76=37/197600
2861:  (40/90x15)x26/56=3’2/21
2862:  1x23/39÷96/60=115/312
2863:  87x58+6=5052
2864:  (93x12)-55=1061
2865:  56-88/46÷86=55’967/989
2866:  55÷(60+19)=55/79
2867:  100+80-99=81
2868:  (93/28+93)÷4=24’9/112
2869:  (61+36)+70=167
2870:  99÷(76÷50)=65’5/38
2871:  56+38-36/3=82
2872:  52-32-11=9
2873:  75÷(43/70÷19)/85=197180’10/43
2874:  92x83+88=7724
2875:  36-72÷72=35
2876:  (91+27)x88=10384
2877:  72/66÷34÷91=6/17017
2878:  11x42+93=555
2879:  14÷78÷45=7/1755
2880:  (96-74)÷91/9=2’16/91
2881:  26÷(82+67)=26/149
2882:  91x(10x16)=14560
2883:  62x91+35=5677
2884:  69x73/75-63/41=65’639/1025
2885:  74÷(2/79+74)=2923/2924
2886:  53/9+(27x92)/25=105’56/225
2887:  (82+61)/51÷63=143/3213
2888:  96÷76x67=84’12/19
2889:  (15x22)/58x72=409’19/29
2890:  93/48x(55/36x7)/27=11935/15552
2891:  (24x83)÷70=28’16/35
2892:  72+41-98=15
2893:  66÷(10+56)=1
2894:  71÷(5+70)=71/75
2895:  (29+71)/86÷6=25/129
2896:  6÷55+2=2’6/55
2897:  17x(14÷63)=3’7/9
2898:  (47+94)-45/10=136’1/2
2899:  84x(25x72)=151200
2900:  9/94x(56÷91)/16=9/2444
2901:  (24÷37)/11+79=79’24/407
2902:  35-(95÷68)=33’41/68
2903:  17x(75/4÷84)=3’89/112
2904:  25÷(59+50)=25/109
2905:  (88-37)-23/22=49’21/22
2906:  83-(22÷98)=82’38/49
2907:  17x81+18/49=1377’18/49
2908:  4/19x(21÷10)/55=42/5225
2909:  70÷34+12=14’1/17
2910:  (80+40)-1=119
2911:  84÷(40-16)=3’1/2
2912:  63+16x62=1055
2913:  (82/68x56)+95=162’9/17
2914:  69÷(84÷64)=52’4/7
2915:  6/92÷(53+29)=3/3772
2916:  88÷(29÷8)=24’8/29
2917:  25÷(68x59)=25/4012
2918:  (14+19)÷56=33/56
2919:  11+(83x50)/35=129’4/7
2920:  1-49÷60=11/60
2921:  60+16+58=134
2922:  1+8/26+43=44’4/13
2923:  (12x19)/26x72=631’5/13
2924:  54x67-45=3573
2925:  60÷(11x1)=5’5/11
2926:  46/45x(70+19)=90’44/45
2927:  69÷(92x55)=3/220
2928:  (59x94)+77/42=5547’5/6
2929:  15x92+37=1417
2930:  (76-9)x70=4690
2931:  83/68+(61÷95)=1’5573/6460
2932:  42/75x(24/23+45)=25’451/575
2933:  40x72/52x99=5483’1/13
2934:  (36+11)-45/100=46’11/20
2935:  (2+50)+16=68
2936:  24/19+5x74=371’5/19
2937:  51+86+44=181
2938:  40/15+(91-33)=60’2/3
2939:  42/34+(98+99)=198’4/17
2940:  41+(59/91x82)/30=42’1054/1365
2941:  6÷(43-17)=3/13
2942:  3÷52+9=9’3/52
2943:  (62-37)÷26=25/26
2944:  17-(100÷95)=15’18/19
2945:  17+(39+19)/24=19’5/12
2946:  49/6-(71+68)/35=4’41/210
2947:  91/33x90÷56/60=265’10/11
2948:  59x(84÷83)=59’59/83
2949:  (38x46)x3=5244
2950:  56x(34+17)/100=28’14/25
2951:  (74/43x18)+52=82’42/43
2952:  99+(28/35x26)=119’4/5
2953:  61x39÷46=51’33/46
2954:  (87÷12)÷35/95=19’19/28
2955:  22x(100x13)=28600
2956:  (60-54)/24x36=9
2957:  30x55÷68=24’9/34
2958:  20÷56+61=61’5/14
2959:  20x71+59=1479
2960:  56x95+24=5344
2961:  95÷51+22=23’44/51
2962:  58-77/85x61=2’63/85
2963:  (16+7)÷100/45=10’7/20
2964:  19÷(42+12)/60=21’1/9
2965:  (18÷18)+37=38
2966:  38+(80÷64)=39’1/4
2967:  7x26÷58/24=75’9/29
2968:  (75+39)+32=146
2969:  77+6+88=171
2970:  (56/89+69)÷81/53=45’4036/7209
2971:  22x68-11=1485
2972:  74÷(80÷96)=88’4/5
2973:  98-(69-61)=90
2974:  72÷8/78x25=17550
2975:  (15+39)x30=1620
2976:  (84/20x70)/1÷8=36’3/4
2977:  (78-9)/48x55=79’1/16
2978:  100÷45/58÷56=2’19/63
2979:  91÷(98/20x34)=65/119
2980:  (21x53)÷16=69’9/16
2981:  44x(39+94)=5852
2982:  (78x22)-24=1692
2983:  (81/21+50)x25=1346’3/7
2984:  47x(85-84)/28=1’19/28
2985:  60÷54/35+100=138’8/9
2986:  22x(97+16)/24=103’7/12
2987:  18-34/69+64=81’35/69
2988:  92/69+43x97=4172’1/3
2989:  50+(10/2+66)=121
2990:  39x(45/52+16)=657’3/4
2991:  20x90x79=142200
2992:  (26÷77)÷61/93=2418/4697
2993:  46x(67÷32)=96’5/16
2994:  35÷(93-30)/32=17’7/9
2995:  31÷(26/24x91)/76=23’1063/1183
2996:  (97-8)-75=14
2997:  57÷(83÷34)=23’29/83
2998:  64/49+(35/49x17)=13’22/49
2999:  (38x85)/9-55=303’8/9
3000:  39÷96+34=34’13/32
3001:  85x12+67/87=1020’67/87
3002:  82x67-38=5456
3003:  94+(15x26)=484
3004:  62-25÷20=60’3/4
3005:  (31x70)÷98/28=620
3006:  (9x6)÷73=54/73
3007:  80x13-71=969
3008:  14+(56+45)=115
3009:  (33x65)-49=2096
3010:  (52÷19)+37=39’14/19
3011:  (62+96)÷54=2’25/27
3012:  57+(8÷7)=58’1/7
3013:  (65-52)/78x41/83=41/498
3014:  (97-91)x12=72
3015:  (94x65)-76/47=6108’18/47
3016:  84-47/56+94=177’9/56
3017:  2x59x16/5=377’3/5
3018:  12+(100+98)/18=23
3019:  28÷17/6x43=424’16/17
3020:  87÷(68x60)/73=1’757/1360
3021:  88/80÷11+33=33’1/10
3022:  83÷(3+20)/76=274’6/23
3023:  (57x46)x77/94=2147’38/47
3024:  25x89/5+100=545
3025:  6+14÷18=6’7/9
3026:  89x35-25/100=3114’3/4
3027:  (88x58)÷78=65’17/39
3028:  12x(98-73)/17=17’11/17
3029:  46-(91/49÷96)=45’659/672
3030:  75x(63+31)=7050
3031:  4-(76/72+20)/80=3’1061/1440
3032:  95-(11÷20)=94’9/20
3033:  37+(18÷71)=37’18/71
3034:  62/66÷41/59÷42=1829/56826
3035:  95x94+61=8991
3036:  62-29+35=68
3037:  70+18÷37=70’18/37
3038:  (53x2)/35x43=130’8/35
3039:  40x(90÷68)=52’16/17
3040:  9x77+28=721
3041:  (39/26x67)-65/58=99’11/29
3042:  100-21+67=146
3043:  (47÷42)÷18=47/756
3044:  93/96+83x6/38=14’45/608
3045:  75÷(93-72)=3’4/7
3046:  68+(23÷86)=68’23/86
3047:  70÷(16÷56)/73=17885
3048:  (67÷1)+6=73
3049:  32-89/88+12/69=31’329/2024
3050:  (44x56)+10=2474
3051:  (61/57+7)/20÷87=23/4959
3052:  (33+52)÷20=4’1/4
3053:  34-(72+55)/99=32’71/99
3054:  80/99÷(61÷53)=4240/6039
3055:  11/39x(78x20)=440
3056:  13+(85+1)=99
3057:  (95x69)+94=6649
3058:  60x25÷1=1500
3059:  (10+31)÷91=41/91
3060:  5+(28x23)/73=13’60/73
3061:  57/85x91÷10/33=201’321/850
3062:  51x6-38=268
3063:  5+48-40=13
3064:  51÷64+6=6’51/64
3065:  68x39x42=111384
3066:  71x97÷11=626’1/11
3067:  73/66÷84x71=5183/5544
3068:  2+28/61x89=42’52/61
3069:  10÷12x85=70’5/6
3070:  89÷43+78=80’3/43
3071:  92-31÷21/21=61
3072:  (33+19)-25=27
3073:  (72-11)x62/67=56’30/67
3074:  52/38x(36-3)=45’3/19
3075:  (47+41)x92=8096
3076:  (41x62)÷51=49’43/51
3077:  63-55/88x45=34’7/8
3078:  77÷(65x5)/54=12’258/325
3079:  47x12÷87=6’14/29
3080:  81+(9÷74)=81’9/74
3081:  56÷14+71=75
3082:  68÷84÷57/13=221/1197
3083:  33+(15÷10)=34’1/2
3084:  58/79+41÷55=1’2084/4345
3085:  88÷(52÷4)=6’10/13
3086:  (56x71)÷92=43’5/23
3087:  (19x82)-23=1535
3088:  (93/75+87)-53=35’6/25
3089:  (77÷42)+29=30’5/6
3090:  65x(72-37)=2275
3091:  39x83/76+98=140’45/76
3092:  67x(70-6)=4288
3093:  (29x30)x44/44=870
3094:  47÷80x95=55’13/16
3095:  81/28x(32-9)=66’15/28
3096:  (47-45)/80÷35=1/1400
3097:  (44÷76)+97=97’11/19
3098:  (100÷5)/12x97=161’2/3
3099:  80-10/41x6=78’22/41
3100:  47x(73-9)=3008
3101:  (100-18)+58=140
3102:  19+(61+49)/74=20’18/37
3103:  92-(50+14)=28
3104:  50+(87+30)/91=51’2/7
3105:  71-5-21/27=65’2/9
3106:  56/92÷(40÷30)/34=15’12/23
3107:  71-(88÷77)=69’6/7
3108:  81÷32÷40/37=2’437/1280
3109:  (40+52)/96÷69=1/72
3110:  (91+55)x51=7446
3111:  38x97x73=269078
3112:  11÷9x40/11=4’4/9
3113:  99÷(94-91)=33
3114:  32÷(41+42)/30=11’47/83
3115:  56+(29+16)=101
3116:  17+(50x30)=1517
3117:  3÷(63÷90)=4’2/7
3118:  40+(75-33)/69=40’14/23
3119:  (55÷8)+33=39’7/8
3120:  (14x24)x79=26544
3121:  (34+92)+68=194
3122:  80+(35+53)=168
3123:  55x41/90÷3/87=726’11/18
3124:  100+(53÷35)/18=100’53/630
3125:  68x(33÷12)/60=3’7/60
3126:  97x98x67=636902
3127:  10x72x97=69840
3128:  42-(37÷21)/58=41’1181/1218
3129:  (20x35)÷43=16’12/43
3130:  66÷(42/65÷3)=306’3/7
3131:  17+(18/45+96)/93=18’17/465
3132:  70+25/13+65=136’12/13
3133:  28÷(46x82)/6=42/943
3134:  61+46/52+97/32=64’381/416
3135:  (80+6)+98=184
3136:  67x(7/91x5)=25’10/13
3137:  39+67-27=79
3138:  77÷(70x9)=11/90
3139:  94-(46-42)=90
3140:  (18+50)-24=44
3141:  76/47+(68+71)=140’29/47
3142:  73÷38÷3=73/114
3143:  24x37/61x41=596’52/61
3144:  23÷(34+7)/55=30’35/41
3145:  (44-5)÷34=1’5/34
3146:  3/42+(45x27)=1215’1/14
3147:  (89-20)÷10=6’9/10
3148:  5+23+85/56=29’29/56
3149:  37+80÷23=40’11/23
3150:  47+10+6=63
3151:  22÷(50x39)=11/975
3152:  13÷(97x17)=13/1649
3153:  (95+74)+10=179
3154:  24+(71/49+70)/57=25’236/931
3155:  (53-50)÷52/37=2’7/52
3156:  86-82+23=27
3157:  14+(81+58)=153
3158:  58÷92x100/53=1’231/1219
3159:  26/86+64+12=76’13/43
3160:  86+84+63=233
3161:  26÷58/55-16=8’19/29
3162:  (27÷8)÷83=27/664
3163:  41x61-34=2467
3164:  9x(98/9x30)=2940
3165:  73+92+55=220
3166:  (91/25x77)/1-100/15=273’46/75
3167:  (26x90)-3=2337
3168:  98÷(31/88+51)/11=20’4484/4519
3169:  (26+93)/55x35=75’8/11
3170:  83/10÷36+27/24=1’16/45
3171:  (84/2÷97)/57+57=57’14/1843
3172:  35÷78+10/50=253/390
3173:  (98/91+87)+1=89’1/13
3174:  81-17÷70=80’53/70
3175:  92x58÷16/51=17008’1/2
3176:  9+96-74=31
3177:  (47x10)-71/61=468’51/61
3178:  (72÷69)x68/63=1’61/483
3179:  (49/46÷8)+86=86’49/368
3180:  30/13x45/81x59=75’25/39
